domain,technology,categories,version,confidence,inferred,offsite,sources,evidence
100wwcstlw.org,Cloudflare,CDN,,0.9995,False,False,external,https://100wwcstlw.org | server: cloudflare
100wwcstlw.org,HTTP/3,Miscellaneous,,0.9775,False,False,external,"https://100wwcstlw.org | alt-svc: h3="":443""; ma=86400"
100wwcstlw.org,Network Solutions,Hosting,,0.9775,False,False,own,dns:100wwcstlw.org | NS: ns1.worldnic.com
100wwcstlw.org,Google Trust Services,SSL/TLS certificate authorities,,0.9,False,False,own,tls:100wwcstlw.org:443 | organization: Google Trust Services
100wwcstlw.org,HSTS,Security,,0.85,False,False,external,https://100wwcstlw.org | strict-transport-security: max-age=31536000
100wwcstlw.org,Cloudflare Bot Management,Security,,0.8,False,False,external,https://100wwcstlw.org | __cf_bm: Em5Dj0tkfP3tUfnNwZ7YOiZFnLRirx_Ef8aNGUuZcjc-1789112000.2449706-1.0.1.1-bOiy_NPXsCWhftDClsCTm_TWJEsQKkAfk7uH9jEnro5Jp_Qqu2cIolMicYE4_0.v53vvSM.w2fhiVFnlHMLqECJvqxWDzNy_1xXCc4eCrekqkhkUFbogC63Zg1NjjtQW
100wwcstlw.org,Open Graph,Miscellaneous,,0.75,False,False,external,https://100wwcstlw.org | <meta> matches meta[property*='og:']
11853prospecthill.com,Cloudflare,CDN,,1.0,False,False,external,https://11853prospecthill.com | server: cloudflare
11853prospecthill.com,cdnjs,CDN,,1.0,False,False,external,https://11853prospecthill.com | https://cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js
11853prospecthill.com,Amazon Web Services,PaaS,,0.9995,False,False,external,https://11853prospecthill.com | x-amz-id-2: CkVpTadjcV1LDVVB6HWE2A5Sc6k0w4ijDckhF2TphR+mbdwZeappQ9yAiNGRwYwgH7eSyxpcGJ0=
11853prospecthill.com,Cloudflare DNS,Hosting,,0.9966,False,False,external,dns:11853prospecthill.com | NS: byron.ns.cloudflare.com
